MON: Poker,TUE: Historical Flight/War Sim,WED: Deep Learning Chess,THU: Historical Sim Racing,FRI: Contract Bridge,SAT: Flight/War Sim (Advanced),SUN: Deep Learning Weiqi
Beginning draw and stud,Battle of Britain,Deep learning,Classic 1960's grand prix,Demo with professor mode,Electronic battlefield,AI tutor
Stud,Basic flight training,Analysis,View replay,Bridge analyzer,Checklist training,Board with training
Casino poker,RAF training,Statistics,Mechanic tuning,Demo with bidding flowchart,Replay,Heat map board
Hold em analyzer,Axis training,"training, tutorials",Simple cars and telemetry,Limited release with good feedback,Electronic battlefield (limited scope),Easy game with ranking
General purpose analyzer,US training,How to calculate Score,70's and later Stock Cars,Full release with flowchart,Electronic battlefield (very advanced),Analysis
How to calculate Score,Korean war,Enter new score,"50's-70's Touring, GT and F1",Full release with dashboard,US training,How to calculate Score
Enter new score,UN training,,How to calculate Score,Memory training,Soviet training,Enter new score
,Red training,,Enter new score,Mental math Training,Non-violent options,
,Classic civilian aircraft,,,How to calculate Score,How to calculate Score,
,WWI dogfighting,,,Enter new score,Enter new score,
,WWII dogfighting,,,,,
,How to calculate Score,,,,,
,Enter new score,,,,,
